2021-08-05 22:00,40914.13,41045.54,40760.06,40938.9,537459493.6,128267
2021-08-05 21:00,40886.31,41327.73,40672,40915.89,938500143.5,223041
2021-08-05 20:00,40694.19,41168.93,40694.19,40886.31,1052585582,238323
2021-08-05 19:00,40822.15,41350,40527.71,40694.19,1924561630,411461
2021-08-05 18:00,40684.49,40989,40329.63,40822.14,1689946303,377358
2021-08-05 17:00,39727.26,40700,39642.68,40684.49,2469044516,541554
2021-08-05 16:00,38721.79,39781.66,38704,39727.25,2063524265,462399
2021-08-05 15:00,38990.52,39369.71,38514.71,38723.29,2250367501,487659
2021-08-05 14:00,38038.15,39050,37860.44,38990.9,2551925822,538132
2021-08-05 13:00,38019.14,38153,37650,38038.16,1594315848,337413
2021-08-05 12:00,38004,38145.75,37291,38019.13,2177646543,453621
2021-08-05 11:00,38029.99,38220,37930.03,38004,753026796.9,178598
2021-08-05 10:00,38045.01,38250,37811.04,38029.99,1059306479,245857
2021-08-05 9:00,38503.29,38623.99,37900,38045.01,1880345700,389714
2021-08-05 8:00,38889.07,38969.98,38453.11,38503.96,1116026825,244104
2021-08-05 7:00,39111.34,39111.34,38750,38889.08,924458052.2,223873
2021-08-05 6:00,39402.82,39403.78,39012.2,39111.35,746007860.5,173050
2021-08-05 5:00,39381.65,39530,39305.27,39402.81,304774040.8,84742
2021-08-05 4:00,39450,39540.08,39301,39381.65,304545330.1,88132
2021-08-05 3:00,39405.49,39571.6,39302,39450,393106585.6,105806
2021-08-05 2:00,39513.75,39521,39261.31,39405.49,406097322.6,103679
2021-08-05 1:00,39575.42,39627.99,39200,39513.74,1021670911,212512
2021-08-05 0:00,39731.31,39856.63,39555,39574.16,502855499.8,121304
2021-08-04 23:00,39723.5,39931.74,39555,39731.31,550306302.8,133126
2021-08-04 22:00,39830.85,39970,39513.88,39723.51,716882841.3,156899
2021-08-04 21:00,39749.54,39975.32,39716.02,39830.84,548825374.6,149672
2021-08-04 20:00,39745.17,39849.99,39612,39749,453442793.6,120733
2021-08-04 19:00,39570,39855.12,39467.68,39745.16,626335094.4,151639
2021-08-04 18:00,39384.99,39800,39373.54,39570,910843408.4,203204
2021-08-04 17:00,39468.6,39473.51,39234,39383.56,605176793.3,145683
2021-08-04 16:00,39289.95,39621,39221,39468.6,922407091.3,213939
2021-08-04 15:00,39097.73,39444,39097.73,39289.96,1292195288,273522
2021-08-04 14:00,38985.01,39167.31,38825.03,39097.73,938345955.2,228092
2021-08-04 13:00,38812.45,39220,38720,38985.01,1703482843,407161
2021-08-04 12:00,38152.87,38895,38143.22,38812.46,1458699634,347691
2021-08-04 11:00,38079.59,38248.86,38033.45,38152.86,666756634.4,178809
2021-08-04 10:00,37818.22,38115,37730,38080.99,633250286.5,160258
2021-08-04 9:00,37743.72,37877.69,37661,37818.22,502636869.3,128141
2021-08-04 8:00,37827.96,37983.62,37500,37743.71,1108809686,239318
2021-08-04 7:00,37819.3,37884.61,37661.1,37827.97,609779605.3,159847
2021-08-04 6:00,38000.01,38155.31,37777,37817.46,848805915.1,188682
2021-08-04 5:00,37966.77,38220,37962.03,38000,513992462.5,126608
2021-08-04 4:00,37980.33,38096.99,37758,37966.76,641111498.2,150983
